id_chamada;data;nome_fluxo;qtde_rtd_nok;qtde_rtd_ok;qtde_chamadas;tempo_total_rtd;tempo_min_rtd;tempo_max_rtd;tempo_medio_rtd
b956032cf4;27/02/2023;downgradenbo;0;1;1;7,840843439102173;7,840843439102173;7,840843439102173;7,840843439102173;
b36071e3e5;27/02/2023;migracaolateralnbo;0;1;1;2,150449275970459;2,150449275970459;2,150449275970459;2,150449275970459;
82089bd49f;27/02/2023;;0;0;1;0;0;0;0;
99314d0624;27/02/2023;;0;0;1;0;0;0;0;
e55455bdd0;27/02/2023;;0;0;1;0;0;0;0;
abd11350de;28/02/2023;downgradenbo;0;1;1;11,924377202987671;11,924377202987671;11,924377202987671;11,924377202987671;
2148024e8d;28/02/2023;migracaolateralnbo;0;1;1;5,8332741260528564;5,8332741260528564;5,8332741260528564;5,8332741260528564;
dde1e5982e;28/02/2023;upgradenbo;0;1;1;7,089892625808716;7,089892625808716;7,089892625808716;7,089892625808716;
426da4520e;28/02/2023;upgradenbo;0;1;1;7,2208147048950195;7,2208147048950195;7,2208147048950195;7,2208147048950195;
51b49f92af;28/02/2023;upgradenbo;0;1;1;2,910568952560425;2,910568952560425;2,910568952560425;2,910568952560425;
b8d4ec3cc8;28/02/2023;downgradenbo;0;1;1;6,7779762744903564;6,7779762744903564;6,7779762744903564;6,7779762744903564;
31fa6887a6;28/02/2023;downgradenbo;0;1;1;2,4692881107330322;2,4692881107330322;2,4692881107330322;2,4692881107330322;
ad5879fd2a;28/02/2023;migracaolateralnbo;0;1;1;11,840528011322021;11,840528011322021;11,840528011322021;11,840528011322021;
66af5baf91;28/02/2023;downgradenbo;0;1;1;4,541348457336426;4,541348457336426;4,541348457336426;4,541348457336426;
5ce5caf9f5;28/02/2023;upgradenbo;0;1;1;7,576488494873047;7,576488494873047;7,576488494873047;7,576488494873047;
c966023365;28/02/2023;downgradenbo;0;1;1;9,402535676956177;9,402535676956177;9,402535676956177;9,402535676956177;
0158d19cab;28/02/2023;upgradenbo;0;1;1;11,708452939987183;11,708452939987183;11,708452939987183;11,708452939987183;
6cebc74dd4;28/02/2023;migracaolateralnbo;0;1;1;12,173189640045166;12,173189640045166;12,173189640045166;12,173189640045166;
7f8c4857c7;28/02/2023;upgradenbo;0;1;1;2,29948091506958;2,29948091506958;2,29948091506958;2,29948091506958;
7e8e1b54b6;28/02/2023;upgradenbo;0;1;1;5,571017503738403;5,571017503738403;5,571017503738403;5,571017503738403;
4cc9818b63;28/02/2023;migracaolateralnbo;0;1;1;6,51211953163147;6,51211953163147;6,51211953163147;6,51211953163147;
b378975181;28/02/2023;downgradenbo;0;1;1;2,6220359802246094;2,6220359802246094;2,6220359802246094;2,6220359802246094;
b83c86f6fb;01/03/2023;downgradenbo;0;1;1;7,09092116355896;7,09092116355896;7,09092116355896;7,09092116355896;
10d89bf4b7;01/03/2023;downgradenbo;0;1;1;11,98059868812561;11,98059868812561;11,98059868812561;11,98059868812561;
6db9827069;01/03/2023;migracaolateralnbo;0;1;1;2,1704564094543457;2,1704564094543457;2,1704564094543457;2,1704564094543457;
4ba84b292b;01/03/2023;upgradenbo;0;1;1;2,194061756134033;2,194061756134033;2,194061756134033;2,194061756134033;
e0a1ca30cd;01/03/2023;migracaolateralnbo;0;1;1;2,0694637298583984;2,0694637298583984;2,0694637298583984;2,0694637298583984;
